chrom	trans_id	strand	gene_id	gene_name	transcript_biotype	gene_start	gene_stop	CDS_start	CDS_stop	CDS_length	5UTR_length	3UTR_length	transcript_length
X	ENST00000373212	+	ENSG00000131171	SH3BGRL	protein_coding	81202102	81298547	100	444	345	99	1320	1764
X	ENST00000336949	+	ENSG00000165175	MID1IP1	protein_coding	38801455	38806537	3224	3775	552	3223	1039	4814
6	ENST00000521485	-	ENSG00000065609	SNAP91	protein_coding	83552880	83709691	397	3105	2709	396	1416	4521
3	ENST00000439351	+	ENSG00000090520	DNAJB11	protein_coding	186567403	186585800	930	2006	1077	929	392	2398
1	ENST00000371591	+	ENSG00000157077	ZFYVE9	protein_coding	52142212	52348671	516	4793	4278	515	2450	7243
19	ENST00000328853	-	ENSG00000182566	CLEC4G	protein_coding	7728957	7732110	9	890	882	8	409	1299
19	ENST00000157812	+	ENSG00000013275	PSMC4	protein_coding	39971165	39981764	39	1295	1257	38	459	1754
15	ENST00000331200	+	ENSG00000128951	DUT	protein_coding	48331429	48343373	88	846	759	87	1295	2141
11	ENST00000294288	-	ENSG00000167791	CABP2	protein_coding	67518912	67523446	121	783	663	120	227	1010
17	ENST00000591680	-	ENSG00000186566	GPATCH8	protein_coding	44395281	44503406	37	4545	4509	36	2287	6832
7	ENST00000401542	+	ENSG00000205858	LRRC72	protein_coding	16526825	16581568	129	992	864	128	79	1071
9	ENST00000371696	-	ENSG00000169692	AGPAT2	protein_coding	136673143	136687457	101	937	837	100	609	1546
5	ENST00000347642	+	ENSG00000013561	RNF14	protein_coding	141968886	141990290	289	1713	1425	288	2500	4213
1	ENST00000371218	+	ENSG00000172456	FGGY	protein_coding	59296981	59762724	185	1912	1728	184	140	2052
X	ENST00000648352	+	ENSG00000165182	CXorf58	protein_coding	23908054	23939509	297	1418	1122	296	206	1624
22	ENST00000361740	-	ENSG00000100243	CYB5R3	protein_coding	42617840	42649392	78	1115	1038	77	1933	3048
3	ENST00000306024	+	ENSG00000170860	LSM3	protein_coding	14178817	14201122	45	353	309	44	3006	3359
5	ENST00000251636	-	ENSG00000067248	DHX29	protein_coding	55256055	55307694	122	4231	4110	121	433	4664
3	ENST00000352511	+	ENSG00000114739	ACVR2B	protein_coding	38453890	38493142	434	1972	1539	433	9810	11782
17	ENST00000681160	-	ENSG00000141252	VPS53	protein_coding	508668	685188	910	3039	2130	909	10460	13499
19	ENST00000302804	+	ENSG00000105146	AURKC	protein_coding	57231023	57235548	227	1156	930	226	131	1287
8	ENST00000316403	-	ENSG00000120885	CLU	protein_coding	27596917	27614700	76	1425	1350	75	1324	2749
19	ENST00000307658	+	ENSG00000186272	ZNF17	protein_coding	57411161	57421934	267	2261	1995	266	453	2714
11	ENST00000679497	-	ENSG00000159063	ALG8	protein_coding	78100946	78139626	1205	2521	1317	1204	18	2539
12	ENST00000544681	+	ENSG00000111678	C12orf57	protein_coding	6943817	6945098	306	617	312	305	363	980
3	ENST00000504329	-	ENSG00000248592	STIMATE-MUSTN1	protein_coding	52833150	52897562	113	1231	1119	112	174	1405
9	ENST00000259400	+	ENSG00000136874	STX17	protein_coding	99906654	99974534	116	1024	909	115	5861	6885
19	ENST00000458714	+	ENSG00000176472	ZNF575	protein_coding	43525497	43536130	808	1842	1035	807	443	2285
6	ENST00000327681	-	ENSG00000123552	USP45	protein_coding	99432439	99515376	534	2978	2445	533	3277	6255
1	ENST00000469520	-	ENSG00000162813	BPNT1	protein_coding	220057484	220090462	451	1377	927	450	1360	2737
18	ENST00000382771	+	ENSG00000206075	SERPINB5	protein_coding	63476958	63505085	96	1223	1128	95	1363	2586
11	ENST00000300747	-	ENSG00000167333	TRIM68	protein_coding	4598672	4608231	263	1720	1458	262	1604	3324
20	ENST00000371419	+	ENSG00000101132	PFDN4	protein_coding	54208087	54219961	15	419	405	14	811	1230
16	ENST00000348261	+	ENSG00000196557	CACNA1H	protein_coding	1153106	1221768	384	7445	7062	383	774	8219
6	ENST00000476287	+	ENSG00000112584	FAM120B	protein_coding	170306758	170407067	107	2839	2733	106	2316	5155
6	ENST00000681022	-	ENSG00000135541	AHI1	protein_coding	135283407	135498434	2951	6541	3591	2950	2238	8779
13	ENST00000335678	+	ENSG00000185974	GRK1	protein_coding	113667219	113737736	169	1860	1692	168	2373	4233
16	ENST00000648724	+	ENSG00000172824	CES4A	protein_coding	66988589	67010417	185	1870	1686	184	1275	3145
3	ENST00000418176	+	ENSG00000240747	KRBOX1	protein_coding	42936862	42942792	2035	2421	387	2034	145	2566
11	ENST00000527323	+	ENSG00000014216	CAPN1	protein_coding	65182462	65211987	241	2385	2145	240	701	3086
6	ENST00000375069	-	ENSG00000204305	AGER	protein_coding	32180968	32184322	101	1363	1263	100	175	1538
1	ENST00000358671	+	ENSG00000072694	FCGR2B	protein_coding	161663143	161678654	100	1032	933	99	1101	2133
4	ENST00000635031	+	ENSG00000170846	ENSG00000170846	protein_coding	6674075	6676047	139	498	360	138	1475	1973
10	ENST00000623213	+	ENSG00000150760	DOCK1	protein_coding	126905428	127452516	91	5751	5661	90	1089	6840
8	ENST00000262209	-	ENSG00000104321	TRPA1	protein_coding	72021250	72075584	176	3535	3360	175	1656	5191
3	ENST00000622669	+	ENSG00000118855	MFSD1	protein_coding	158801926	158829718	81	1625	1545	80	736	2361
22	ENST00000263245	-	ENSG00000242247	ARFGAP3	protein_coding	42796502	42857273	92	1642	1551	91	1086	2728
14	ENST00000553525	+	ENSG00000182732	RGS6	protein_coding	71932429	72566530	534	2006	1473	533	4063	6069
5	ENST00000600799	-	ENSG00000268799	H3Y2	protein_coding	17490967	17492076	309	752	444	308	358	1110
5	ENST00000522208	-	ENSG00000113269	RNF130	protein_coding	179911651	180071721	20	1279	1260	19	8666	9945
5	ENST00000239444	+	ENSG00000120322	PCDHB8	protein_coding	141177790	141180539	246	2651	2406	245	99	2750
22	ENST00000329492	+	ENSG00000008735	MAPK8IP2	protein_coding	50600793	50613978	27	2501	2475	26	3199	5700
11	ENST00000313578	+	ENSG00000178301	AQP11	protein_coding	77589953	77610356	41	856	816	40	979	1835
6	ENST00000356476	-	ENSG00000197409	H3C4	protein_coding	26196784	26197286	37	447	411	36	56	503
7	ENST00000252037	+	ENSG00000077800	FKBP6	protein_coding	73328161	73358625	269	1252	984	268	447	1699
7	ENST00000222390	-	ENSG00000019991	HGF	protein_coding	81699010	81770047	77	2263	2187	76	3571	5834
X	ENST00000337414	-	ENSG00000047648	ARHGAP6	protein_coding	11137544	11665920	1093	4017	2925	1092	1319	5336
22	ENST00000215917	+	ENSG00000100104	SRRD	protein_coding	26483877	26494658	15	1034	1020	14	2986	4020
19	ENST00000402367	+	ENSG00000170889	RPS9	protein_coding	54200872	54207647	116	535	420	115	1082	1617
5	ENST00000513986	-	ENSG00000168916	ZNF608	protein_coding	124636915	124746639	629	5167	4539	628	985	6152
12	ENST00000550948	-	ENSG00000110876	SELPLG	protein_coding	108621895	108633894	161	1399	1239	160	1174	2573
3	ENST00000261037	+	ENSG00000144810	COL8A1	protein_coding	99638475	99799226	381	2615	2235	380	3090	5705
8	ENST00000314393	+	ENSG00000178764	ZHX2	protein_coding	122781655	122974510	575	3088	2514	574	1273	4361
9	ENST00000356884	-	ENSG00000185963	BICD2	protein_coding	92711363	92764833	90	2657	2568	89	3791	6448
13	ENST00000380680	-	ENSG00000122042	UBL3	protein_coding	29764371	29850617	1080	1433	354	1079	2884	4317
2	ENST00000436346	-	ENSG00000115355	CCDC88A	protein_coding	55287842	55419856	778	6393	5616	777	3358	9751
10	ENST00000453424	-	ENSG00000165406	MARCHF8	protein_coding	45454585	45535371	240	1961	1722	239	3654	5615
1	ENST00000294600	+	ENSG00000162592	CCDC27	protein_coding	3752450	3771645	33	2003	1971	32	122	2125
11	ENST00000528097	+	ENSG00000177156	TALDO1	protein_coding	747428	765012	55	1011	957	54	220	1231
19	ENST00000418543	+	ENSG00000123154	WDR83	protein_coding	12666807	12675832	343	1290	948	342	160	1450
7	ENST00000441711	+	ENSG00000170632	ARMC10	protein_coding	103074881	103099758	393	1319	927	392	1205	2524
6	ENST00000369063	-	ENSG00000130347	RTN4IP1	protein_coding	106570771	106629498	478	1668	1191	477	1225	2893
16	ENST00000285697	-	ENSG00000155330	C16orf87	protein_coding	46796603	46831180	32	496	465	31	6349	6845
22	ENST00000325157	-	ENSG00000176177	ENTHD1	protein_coding	39743044	39893760	222	2045	1824	221	635	2680
17	ENST00000604641	-	ENSG00000270765	GAS2L2	protein_coding	35744511	35753239	390	3032	2643	389	343	3375
1	ENST00000358193	+	ENSG00000162398	LEXM	protein_coding	54806063	54842252	55	1299	1245	54	478	1777
1	ENST00000414809	+	ENSG00000117407	ARTN	protein_coding	43933320	43937239	783	1469	687	782	474	1943
3	ENST00000245046	-	ENSG00000125037	EMC3	protein_coding	9962682	9986841	181	966	786	180	1387	2353
16	ENST00000300870	+	ENSG00000185947	ZNF267	protein_coding	31873807	31917357	161	2392	2232	160	876	3268
3	ENST00000647958	-	ENSG00000163666	HESX1	protein_coding	57197838	57227606	392	949	558	391	359	1308
19	ENST00000597721	-	ENSG00000125650	PSPN	protein_coding	6375148	6379058	3210	3704	495	3209	207	3911
1	ENST00000688680	+	ENSG00000004487	KDM1A	protein_coding	23019443	23076570	155	1915	1761	154	2069	3984
20	ENST00000217043	+	ENSG00000101074	R3HDML	protein_coding	44337043	44351238	116	877	762	115	446	1323
X	ENST00000370467	+	ENSG00000176988	FMR1NB	protein_coding	147981337	148026665	67	834	768	66	177	1011
3	ENST00000306107	+	ENSG00000170017	ALCAM	protein_coding	105366909	105576900	501	2252	1752	500	2449	4701
2	ENST00000304502	-	ENSG00000168582	CRYGA	protein_coding	208160740	208163589	34	558	525	33	64	622
11	ENST00000676027	-	ENSG00000087053	MTMR2	protein_coding	95832882	95924090	790	2373	1584	789	2408	4781
1	ENST00000579512	-	ENSG00000270276	H4C15	protein_coding	149860764	149861159	29	340	312	28	56	396
16	ENST00000301744	-	ENSG00000167981	ZNF597	protein_coding	3432414	3443504	199	1473	1275	198	4010	5483
1	ENST00000679176	+	ENSG00000158864	NDUFS2	protein_coding	161199312	161214381	452	1825	1374	451	440	2265
11	ENST00000375478	-	ENSG00000137634	NXPE4	protein_coding	114570591	114595786	206	1840	1635	205	347	2187
16	ENST00000405142	+	ENSG00000168101	NUDT16L1	protein_coding	4693718	4695855	10	753	744	9	1287	2040
19	ENST00000585332	+	ENSG00000105261	OVOL3	protein_coding	36111203	36113711	1	645	645	0	50	695
10	ENST00000375500	+	ENSG00000120563	LYZL1	protein_coding	29289061	29311228	58	642	585	57	169	811
3	ENST00000241502	+	ENSG00000122068	FYTTD1	protein_coding	197749883	197787596	90	1046	957	89	5687	6733
14	ENST00000310806	-	ENSG00000129534	MIS18BP1	protein_coding	45203190	45253202	260	3658	3399	259	919	4577
3	ENST00000296088	+	ENSG00000163788	SNRK	protein_coding	43286540	43351143	305	2602	2298	304	2586	5188
14	ENST00000326783	+	ENSG00000181552	EDDM3B	protein_coding	20768404	20770948	122	565	444	121	354	919
3	ENST00000680057	+	ENSG00000196549	MME	protein_coding	155083525	155183704	279	2531	2253	278	3245	5776
7	ENST00000341843	-	ENSG00000106113	CRHR2	protein_coding	30651943	30700103	421	1614	1194	420	1517	3131
1	ENST00000464492	-	ENSG00000158874	APOA2	protein_coding	161222316	161223615	40	441	402	39	89	530
4	ENST00000420470	+	ENSG00000236699	ARHGEF38	protein_coding	105552620	105680914	147	2480	2334	146	2977	5457
17	ENST00000469092	-	ENSG00000186074	CD300LF	protein_coding	74694317	74712978	278	862	585	277	963	1825
14	ENST00000304061	+	ENSG00000170468	RIOX1	protein_coding	73490933	73493394	86	2011	1926	85	451	2462
19	ENST00000392081	-	ENSG00000068903	SIRT2	protein_coding	38878557	38899862	406	1464	1059	405	598	2062
6	ENST00000373408	-	ENSG00000198937	CCDC167	protein_coding	37482938	37499893	31	324	294	30	248	572
X	ENST00000313871	+	ENSG00000197976	AKAP17A	protein_coding	1591604	1602520	186	2273	2088	185	926	3199
1	ENST00000256785	+	ENSG00000134389	CFHR5	protein_coding	196977556	197009678	110	1819	1710	109	995	2814
1	ENST00000367679	+	ENSG00000116161	CACYBP	protein_coding	174999947	175012027	235	921	687	234	1948	2869
19	ENST00000602149	+	ENSG00000121406	ZNF549	protein_coding	57527426	57557542	149	463	315	148	5042	5505
10	ENST00000260743	-	ENSG00000138172	CALHM2	protein_coding	103446786	103452370	577	1548	972	576	366	1914
2	ENST00000381486	+	ENSG00000196208	GREB1	protein_coding	11534045	11642788	372	6221	5850	371	2334	8555
18	ENST00000317571	+	ENSG00000168234	TTC39C	protein_coding	24014754	24135600	119	1870	1752	118	3026	4896
2	ENST00000409429	+	ENSG00000115325	DOK1	protein_coding	74549026	74557536	505	1533	1029	504	422	1955
20	ENST00000381922	-	ENSG00000101280	ANGPT4	protein_coding	869900	916334	121	1632	1512	120	3060	4692
3	ENST00000330689	-	ENSG00000196981	WDR5B	protein_coding	122411846	122416062	535	1527	993	534	2690	4217
16	ENST00000590891	-	ENSG00000153443	UBALD1	protein_coding	4608883	4611523	1253	1891	639	1252	750	2641
11	ENST00000278829	-	ENSG00000221968	FADS3	protein_coding	61873526	61891545	165	1502	1338	164	288	1790
5	ENST00000393792	-	ENSG00000168246	UBTD2	protein_coding	172209646	172283764	100	804	705	99	2184	2988
11	ENST00000265465	+	ENSG00000014138	POLA2	protein_coding	65261962	65298685	332	2128	1797	331	1416	3544
19	ENST00000588790	+	ENSG00000183401	CCDC159	protein_coding	11345301	11354944	448	1341	894	447	67	1408
16	ENST00000689027	+	ENSG00000162009	SSTR5	protein_coding	1072747	1081454	104	1198	1095	103	1491	2689
6	ENST00000618192	+	ENSG00000196569	LAMA2	protein_coding	128883138	129516566	109	9741	9633	108	219	9960
7	ENST00000649409	+	ENSG00000164619	BMPER	protein_coding	33905539	34156427	76	2133	2058	75	3154	5287
16	ENST00000563276	-	ENSG00000229809	ZNF688	protein_coding	30569672	30572734	460	1248	789	459	244	1492
8	ENST00000286234	+	ENSG00000155792	DEPTOR	protein_coding	119873722	120050918	126	1355	1230	125	1214	2569
19	ENST00000330133	+	ENSG00000183617	MRPL54	protein_coding	3762682	3767565	20	436	417	19	172	608
13	ENST00000684204	-	ENSG00000288716	ENSG00000288716	protein_coding	77326905	77326988	1	84	84	0	0	84
1	ENST00000359060	-	ENSG00000160075	SSU72	protein_coding	1560848	1574584	28	489	462	27	3687	4176
12	ENST00000545135	-	ENSG00000119242	CCDC92	protein_coding	123936417	123946773	3298	4242	945	3297	641	4883
10	ENST00000313519	+	ENSG00000152455	SUV39H2	protein_coding	14878900	14904315	232	1284	1053	231	1803	3087
3	ENST00000273286	-	ENSG00000144771	LRTM1	protein_coding	54918231	54928059	149	1186	1038	148	228	1414
5	ENST00000382275	-	ENSG00000145526	CDH18	protein_coding	19471296	19988200	491	2863	2373	490	1930	4793
2	ENST00000684145	-	ENSG00000188452	CERKL	protein_coding	181535041	181680490	516	1358	843	515	3143	4501
X	ENST00000543160	-	ENSG00000184515	BEX5	protein_coding	102153708	102155790	303	638	336	302	222	860
11	ENST00000531837	-	ENSG00000182359	KBTBD3	protein_coding	106051098	106077347	250	2088	1839	249	1752	3840
11	ENST00000263847	-	ENSG00000110048	OSBP	protein_coding	59574398	59615774	111	2534	2424	110	2179	4713
3	ENST00000303436	-	ENSG00000168374	ARF4	protein_coding	57571363	57597344	205	747	543	204	849	1596
12	ENST00000267260	+	ENSG00000139767	SRRM4	protein_coding	118981541	119163051	343	2178	1836	342	6253	8431
1	ENST00000264187	-	ENSG00000116962	NID1	protein_coding	235975830	236065090	12	3755	3744	11	2037	5792
2	ENST00000258424	+	ENSG00000135940	COX5B	protein_coding	97646062	97648383	26	415	390	25	275	690
3	ENST00000382489	+	ENSG00000186090	HTR3D	protein_coding	184032831	184039284	1	1365	1365	0	309	1674
8	ENST00000038176	-	ENSG00000035681	NSMAF	protein_coding	58583508	58659853	223	2976	2754	222	598	3574
8	ENST00000674865	+	ENSG00000104381	GDAP1	protein_coding	74350418	74368060	119	991	873	118	3693	4684
6	ENST00000644700	-	ENSG00000124614	RPS10	protein_coding	34417454	34426067	37	678	642	36	729	1407
X	ENST00000307959	+	ENSG00000120500	ARR3	protein_coding	70268334	70281840	70	1236	1167	69	74	1310
6	ENST00000322507	-	ENSG00000111799	COL12A1	protein_coding	75084326	75206053	313	9504	9192	312	2221	11725
14	ENST00000216336	-	ENSG00000100448	CTSG	protein_coding	24573518	24576250	28	795	768	27	119	914
9	ENST00000689072	+	ENSG00000214654	B3GALT9	protein_coding	120793467	120801787	638	1747	1110	637	2109	3856
2	ENST00000535757	+	ENSG00000155368	DBI	protein_coding	119366924	119372550	194	508	315	193	232	740
1	ENST00000335633	+	ENSG00000187238	LCE3B	protein_coding	152613811	152614098	1	288	288	0	0	288
11	ENST00000399676	+	ENSG00000185940	KRTAP5-5	protein_coding	1629775	1630930	67	780	714	66	376	1156
2	ENST00000318357	-	ENSG00000163126	ANKRD23	protein_coding	96837912	96844021	30	947	918	29	1637	2584
13	ENST00000648252	+	ENSG00000083544	TDRD3	protein_coding	60397831	60573864	1175	3130	1956	1174	258	3388
16	ENST00000326181	+	ENSG00000131653	TRAF7	protein_coding	2155782	2178129	116	2128	2013	115	1555	3683
2	ENST00000245680	-	ENSG00000115084	SLC35F5	protein_coding	113706709	113756642	234	1805	1572	233	8509	10314
16	ENST00000568449	+	ENSG00000197774	EME2	protein_coding	1772810	1781702	419	1558	1140	418	5464	7022
5	ENST00000274458	+	ENSG00000145781	COMMD10	protein_coding	116085025	116293287	29	637	609	28	798	1435
18	ENST00000434239	-	ENSG00000231824	AKAIN1	protein_coding	5142911	5197257	205	414	210	204	2651	3065
8	ENST00000427067	-	ENSG00000136960	ENPP2	protein_coding	119557086	119673453	182	2836	2655	181	435	3271
16	ENST00000573514	-	ENSG00000162069	BICDL2	protein_coding	3027684	3033002	2192	3097	906	2191	422	3519
5	ENST00000274457	-	ENSG00000145780	FEM1C	protein_coding	115520908	115544775	444	2297	1854	443	3400	5697
5	ENST00000312637	+	ENSG00000174132	FAM174A	protein_coding	100535374	100586741	158	730	573	157	557	1287
5	ENST00000514637	+	ENSG00000250803	ENSG00000250803	protein_coding	122160191	122180061	79	261	183	78	193	454
17	ENST00000576629	+	ENSG00000238083	LRRC37A2	protein_coding	46512468	46555646	246	5348	5103	245	67	5415
17	ENST00000440582	-	ENSG00000241241	KRTAP4-16	protein_coding	41101502	41102209	1	708	708	0	0	708
3	ENST00000703518	-	ENSG00000152952	PLOD2	protein_coding	146069427	146163725	936	3212	2277	935	1290	4502
X	ENST00000355640	+	ENSG00000101966	XIAP	protein_coding	123860272	123913965	307	1800	1494	306	6784	8584
1	ENST00000622395	-	ENSG00000158850	B4GALT3	protein_coding	161171311	161177968	728	1909	1182	727	505	2414
20	ENST00000216962	+	ENSG00000100994	PYGB	protein_coding	25248085	25298012	95	2626	2532	94	1490	4116
10	ENST00000375664	+	ENSG00000095787	WAC	protein_coding	28532493	28623112	610	2418	1809	609	3506	5924
15	ENST00000342683	+	ENSG00000189227	C15orf61	protein_coding	67521131	67530146	119	592	474	118	3601	4193
6	ENST00000316170	+	ENSG00000111846	GCNT2	protein_coding	10555809	10629368	616	1818	1203	615	2761	4579
17	ENST00000315286	-	ENSG00000180329	CCDC43	protein_coding	44677440	44689776	24	698	675	23	1416	2114
14	ENST00000696784	-	ENSG00000258436	RNASE12	protein_coding	20590073	20591376	157	600	444	156	207	807
16	ENST00000330181	+	ENSG00000181625	SLX1B	protein_coding	29454533	29458219	211	1038	828	210	95	1133
9	ENST00000372447	-	ENSG00000136819	C9orf78	protein_coding	129827290	129835275	55	924	870	54	871	1795
2	ENST00000289228	-	ENSG00000115073	ACTR1B	protein_coding	97655939	97664044	155	1285	1131	154	919	2204
20	ENST00000370461	+	ENSG00000060491	OGFR	protein_coding	62805886	62814000	2278	4155	1878	2277	351	4506
9	ENST00000277216	-	ENSG00000148136	OR13C4	protein_coding	104526253	104527209	1	957	957	0	0	957
13	ENST00000298125	+	ENSG00000139668	WDFY2	protein_coding	51584462	51767709	227	1429	1203	226	7940	9369
15	ENST00000413507	+	ENSG00000103642	LACTB	protein_coding	63121833	63131471	40	1161	1122	39	1817	2978
6	ENST00000373083	+	ENSG00000096264	NCR2	protein_coding	41335655	41350858	223	999	777	222	155	1154
1	ENST00000313334	+	ENSG00000134717	BTF3L4	protein_coding	52056295	52090716	99	575	477	98	3958	4533
9	ENST00000373570	-	ENSG00000136942	RPL35	protein_coding	124857880	124861915	4	294	291	3	199	493
6	ENST00000428040	+	ENSG00000241370	RPP21	protein_coding	30345159	30346857	14	547	534	13	47	594
15	ENST00000220420	-	ENSG00000104055	TGM5	protein_coding	43232590	43266928	80	2242	2163	79	601	2843
17	ENST00000156626	-	ENSG00000070526	ST6GALNAC1	protein_coding	76624763	76643757	120	1922	1803	119	567	2489
11	ENST00000320934	-	ENSG00000160613	PCSK7	protein_coding	117204337	117232073	180	2537	2358	179	1660	4197
10	ENST00000332674	+	ENSG00000119950	MXI1	protein_coding	110207605	110287365	205	1092	888	204	2378	3470
16	ENST00000450020	+	ENSG00000007038	PRSS21	protein_coding	2817180	2821719	90	992	903	89	114	1106
1	ENST00000236342	+	ENSG00000117682	DHDDS	protein_coding	26432321	26471306	112	1113	1002	111	2175	3288
9	ENST00000373680	+	ENSG00000148215	OR5C1	protein_coding	122788933	122789895	1	963	963	0	0	963
19	ENST00000381394	-	ENSG00000205718	MBD3L4	protein_coding	7037749	7040179	36	662	627	35	112	774
15	ENST00000329468	+	ENSG00000185823	NPAP1	protein_coding	24675775	24683393	94	3564	3471	93	4055	7619
14	ENST00000216416	-	ENSG00000100528	CNIH1	protein_coding	54423561	54441374	48	482	435	47	4253	4735
17	ENST00000321765	-	ENSG00000076382	SPAG5	protein_coding	28577574	28599025	80	3661	3582	79	125	3786
6	ENST00000377733	+	ENSG00000278588	H2BC10	protein_coding	26272931	26273412	46	426	381	45	56	482
4	ENST00000511685	+	ENSG00000218336	TENM3	protein_coding	182243402	182803024	151	8250	8100	150	2673	10923
7	ENST00000417368	-	ENSG00000008311	AASS	protein_coding	122073549	122144249	105	2885	2781	104	2940	5825
11	ENST00000354193	-	ENSG00000198168	SVIP	protein_coding	22818927	22829801	54	287	234	53	4192	4479
14	ENST00000319374	-	ENSG00000177108	ZDHHC22	protein_coding	77131270	77141791	204	995	792	203	2413	3408
11	ENST00000398035	+	ENSG00000214290	POU2AF3	protein_coding	111299251	111308628	759	1223	465	758	191	1414
2	ENST00000683005	+	ENSG00000188219	POTEE	protein_coding	131209536	131265278	629	3856	3228	628	595	4451
11	ENST00000530810	-	ENSG00000255307	OR52B2	protein_coding	6169355	6170326	1	975	975	0	-3	972
22	ENST00000424496	+	ENSG00000225528	ENSG00000225528	protein_coding	39960397	39964905	979	1173	195	978	336	1509
22	ENST00000407690	-	ENSG00000100109	TFIP11	protein_coding	26491240	26512473	253	2766	2514	252	773	3539
X	ENST00000355016	+	ENSG00000101812	H2BW2	protein_coding	104039956	104042454	40	486	447	39	1389	1875
11	ENST00000440460	+	ENSG00000150764	DIXDC1	protein_coding	111937343	112022653	158	2209	2052	157	3617	5826
12	ENST00000309668	+	ENSG00000175189	INHBC	protein_coding	57434784	57452062	104	1162	1059	103	2040	3202
2	ENST00000397345	-	ENSG00000183091	NEB	protein_coding	151485339	151734476	193	25770	25578	192	421	26191
4	ENST00000395310	-	ENSG00000138674	SEC31A	protein_coding	82818509	82891153	71	3733	3663	70	565	4298
8	ENST00000286355	-	ENSG00000155897	ADCY8	protein_coding	130780301	131040909	577	4332	3756	576	89	4421
1	ENST00000379031	+	ENSG00000169972	PUSL1	protein_coding	1308597	1311677	48	959	912	47	298	1257
15	ENST00000288840	+	ENSG00000137834	SMAD6	protein_coding	66702236	66782849	1024	2514	1491	1023	1314	3828
7	ENST00000611725	-	ENSG00000071189	SNX13	protein_coding	17792842	17940468	174	2840	2667	173	3977	6817
2	ENST00000409514	+	ENSG00000135930	EIF4E2	protein_coding	232550683	232583642	43	753	711	42	2772	3525
3	ENST00000283713	+	ENSG00000136059	VILL	protein_coding	37988059	38007188	267	2837	2571	266	133	2970
2	ENST00000612363	+	ENSG00000233608	TWIST2	protein_coding	238848085	238910534	132	614	483	131	728	1342
14	ENST00000262241	+	ENSG00000089902	RCOR1	protein_coding	102592649	102730561	239	1696	1458	238	4055	5751
9	ENST00000335040	+	ENSG00000186943	OR13C8	protein_coding	104569168	104570130	1	963	963	0	0	963
7	ENST00000393132	+	ENSG00000172331	BPGM	protein_coding	134646831	134679813	490	1269	780	489	782	2051
14	ENST00000340722	+	ENSG00000213231	TCL1B	protein_coding	95686426	95692628	43	429	387	42	713	1142
19	ENST00000317040	+	ENSG00000141971	MVB12A	protein_coding	17420047	17425332	90	911	822	89	339	1250
3	ENST00000464295	-	ENSG00000175697	GPR156	protein_coding	120165478	120285222	575	3019	2445	574	1554	4573
19	ENST00000248668	-	ENSG00000128011	LRFN1	protein_coding	39306566	39320863	197	2512	2316	196	1067	3579
3	ENST00000420115	+	ENSG00000091527	CDV3	protein_coding	133574457	133590260	203	535	333	202	3086	3621
16	ENST00000407479	+	ENSG00000213918	DNASE1	protein_coding	3642938	3665472	185	1033	849	184	7519	8552
15	ENST00000261881	-	ENSG00000075131	TIPIN	protein_coding	66336191	66356685	56	961	906	55	767	1728
17	ENST00000389934	-	ENSG00000121101	TEX14	protein_coding	58556678	58692055	119	4594	4476	118	333	4927
15	ENST00000560079	+	ENSG00000166716	ZNF592	protein_coding	84748592	84806445	332	4135	3804	331	4052	8187
2	ENST00000652721	+	ENSG00000135976	ANKRD36	protein_coding	97113218	97252120	523	6270	5748	522	1353	7623
11	ENST00000337672	-	ENSG00000156603	MED19	protein_coding	57703714	57712215	37	621	585	36	908	1529
15	ENST00000261921	+	ENSG00000129038	LOXL1	protein_coding	73926462	73952136	323	2047	1725	322	299	2346
16	ENST00000703449	+	ENSG00000290183	ENSG00000290183	protein_coding	3263800	3291029	255	1250	996	254	471	1721
8	ENST00000619594	-	ENSG00000176731	RBIS	protein_coding	85214048	85220374	73	375	303	72	512	887
5	ENST00000286317	-	ENSG00000155868	MED7	protein_coding	157137424	157142865	64	765	702	63	1306	2071
15	ENST00000320955	-	ENSG00000137877	SPTBN5	protein_coding	41848146	41894053	205	11229	11025	204	470	11699
1	ENST00000370986	+	ENSG00000116717	GADD45A	protein_coding	67685201	67688334	295	792	498	294	560	1352
11	ENST00000527972	+	ENSG00000214872	SMTNL1	protein_coding	57537595	57550272	51	1535	1485	50	160	1695
9	ENST00000374469	-	ENSG00000165124	SVEP1	protein_coding	110365248	110579741	199	10914	10716	198	1291	12205
7	ENST00000297534	+	ENSG00000164898	FMC1	protein_coding	139341337	139346328	49	390	342	48	624	1014
22	ENST00000678255	+	ENSG00000093010	COMT	protein_coding	19953787	19969955	1085	1900	816	1084	1219	3119
X	ENST00000696450	+	ENSG00000102145	GATA1	protein_coding	48786540	48794311	126	1382	1257	125	147	1529
7	ENST00000297440	+	ENSG00000164818	DNAAF5	protein_coding	726699	786475	23	2590	2568	22	822	3412
10	ENST00000633077	+	ENSG00000048740	CELF2	protein_coding	11017872	11336675	219	1784	1566	218	7622	9406
19	ENST00000221856	+	ENSG00000105255	FSD1	protein_coding	4304598	4323836	150	1640	1491	149	193	1833
11	ENST00000382160	+	ENSG00000205864	KRTAP5-6	protein_coding	1697195	1697755	52	441	390	51	120	561
16	ENST00000381774	-	ENSG00000103381	CPPED1	protein_coding	12659799	12803887	112	1056	945	111	5087	6143
19	ENST00000262623	-	ENSG00000105675	ATP4A	protein_coding	35550031	35563658	30	3137	3108	29	584	3721
